Punto_inicial ,Ronda_2,Ronda_3
SG,SG,SG
SL,SL,SL
BG,BG,BG
BL,BL,BL
PG,PG,PG
PL,PL,PL
CG,CG,CG
CL,CL,CL
SG,PG,CL
BG,PL,PG
SL ,SG, CG
CG ,PL,BG
BL,BG,SG
CL,SG,PL
BL,SG,PL
CG ,PL,SG
SG,PL,PG
CG ,BG,SG
CG ,PL,PG
BG ,PG,CG
PL,PG,SL
PG,SG,BG 
SG ,PL,PG
PG ,SG,CL
PL,PG,CG
PG,CG,BG
SG ,PL,BL
BG,SG,PL
SL ,PG,CL
CG ,PL,PG
BG,PL,CG
CG ,SL,SG
SG,PG,CL
PG,CL,SG
SG,PG,BG
CG,PL,SG
CG,PL,SG
SG ,BG,CG
SG,PG,BG
CG,PL,CG
PL,CG,SG
SG,PG,BG
CL,PG,SG
CG,SG,PL
SG,PG,CG
SG,PG,BL
SG,PL,SG
PG,SL,CL
SG,PG,CL
CG,BG,PL
SG,CG, PL
SG,CL ,PG
SG,PG,CG 
CG,PL,PG
SG,SG,SG
SL,SL,SL
BG,BG,BG
BL,BL,BL
PG,PG,PG
PL,PL,PL
CG,CG,CG
CL,CL,CL
SG ,PL ,PL
SG ,BG ,CL
SG ,PG,CG
SL,SL,No
SL,SG,BG
SL,PL ,SG
SL,SG,PL
BG,PG,CL
SG ,BG ,PL
BG,CG,PG
SG ,PG,BG
BL,No,No
SL,SG,PL
CG,BG ,PG
PG,SG,CL
PG,CL,SL
PL,SG ,BG
PL,No,No
CL,SL,SL
SG ,PL ,CL
 SL,SL,CG
SL,SG,PG
SL,CG,BG
SL,CL,No
CG,SG,PL
SL,PG,BL
CG,PG,BG
CG,PL ,BG
SG ,PL ,BG
PG,BG ,SG
SL,No,No
CL,CG,SG
SL,CG,BG
SL,No,No
SG ,PG,CL
SG ,PG,CG
PG,CG,SG
BG,SG,PL
SG ,PG,BL
SG ,PL ,PL
SG ,PG,CG
SG , PG,CL
PG,SG,CG
SG ,CL,BL
SL,No,No
SG ,PG,BG